"variant2","collection_date_num","prob","SE","df","asymp.LCL","asymp.UCL","collection_date","variant"
"B.1.1.7 (alpha)",18623.5,0.0214313952011185,0.00204823998146765,NA,0.0174169186057469,0.0254458717964901,2020-12-27,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18623.5,0.00111318733564523,0.000459763997148682,NA,0.000212066459845634,0.00201430821144482,2020-12-27,"B.1.351 (beta)"
"P.1 (gamma)",18623.5,9.64851515587274e-07,1.82956573107793e-06,NA,-2.62103142467416e-06,4.55073445584871e-06,2020-12-27,"P.1 (gamma)"
"C.37 (lambda)",18623.5,4.11682438797196e-07,2.47850932059861e-06,NA,-4.44610656492291e-06,5.2694714425173e-06,2020-12-27,"C.37 (lambda)"
"B.1.617.2 (delta)",18623.5,0.000818540403369041,0.000516229272654689,NA,-0.000193250378799457,0.00183033118553754,2020-12-27,"B.1.617.2 (delta)"
"other",18623.5,0.976635500525913,0.00218090041322945,NA,0.972361014262115,0.980909986789711,2020-12-27,"other"
"B.1.1.7 (alpha)",18624.5,0.023300509098102,0.00216342523746018,NA,0.019060273549435,0.027540744646769,2020-12-28,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18624.5,0.00121130372584106,0.000486569563621802,NA,0.00025764490516896,0.00216496254651316,2020-12-28,"B.1.351 (beta)"
"P.1 (gamma)",18624.5,1.1608785527819e-06,2.15325392688086e-06,NA,-3.05942159347403e-06,5.38117869903783e-06,2020-12-28,"P.1 (gamma)"
"C.37 (lambda)",18624.5,4.15692267314641e-07,2.55021690642738e-06,NA,-4.58264102204817e-06,5.41402555667745e-06,2020-12-28,"C.37 (lambda)"
"B.1.617.2 (delta)",18624.5,0.000817575746912174,0.000503444583916316,NA,-0.000169157505775559,0.00180430899959991,2020-12-28,"B.1.617.2 (delta)"
"other",18624.5,0.974669034858325,0.00229342589515316,NA,0.970174002702613,0.979164067014036,2020-12-28,"other"
"B.1.1.7 (alpha)",18625.5,0.0253216465216458,0.00228259634466829,NA,0.0208478398948531,0.0297954531484384,2020-12-29,"B.1.1.7 (alpha)"
"B.1.351 (beta)",18625.5,0.00131736482113338,0.000514388244222799,NA,0.000309182388385897,0.00232554725388086,2020-12-29,"B.1.351 (beta)"
"P.1 (gamma)",18625.5,1.39552623946229e-06,2.53109988688002e-06,NA,-3.56533838009595e-06,6.35639085902053e-06,2020-12-29,"P.1 (gamma)"
