Version,Date_of_report,Date_of_statistics_week_start,Variant_code,Variant_name,ECDC_category,Sample_size,Variant_cases
1,2021-09-16T12:56:39Z,2021-06-28,B.1.1.7,Alpha,"",928,269
1,2021-09-16T12:56:39Z,2021-06-28,B.1.525,Eta,"",928,1
1,2021-09-16T12:56:39Z,2021-06-28,B.1.617.1,Kappa,"",928,1
1,2021-09-16T12:56:39Z,2021-06-28,B.1.526,Iota,"",928,0
1,2021-09-16T12:56:39Z,2021-07-05,B.1.351,Beta,VOC,2452,0
1,2021-09-16T12:56:39Z,2021-07-05,P.1,Gamma,VOC,2452,3
1,2021-09-16T12:56:39Z,2021-07-05,B.1.617.2,Delta,VOC,2452,2093
1,2021-09-16T12:56:39Z,2021-07-05,B.1.620,"",VOI,2452,0
1,2021-09-16T12:56:39Z,2021-07-05,B.1.621,Mu,VOI,2452,0
1,2021-09-16T12:56:39Z,2021-07-05,C.37,Lambda,VOI,2452,8
1,2021-09-16T12:56:39Z,2021-07-05,B.1.1.7,Alpha,"",2452,338
1,2021-09-16T12:56:39Z,2021-07-05,B.1.525,Eta,"",2452,0
1,2021-09-16T12:56:39Z,2021-07-05,B.1.617.1,Kappa,"",2452,0
1,2021-09-16T12:56:39Z,2021-07-05,B.1.526,Iota,"",2452,0
1,2021-09-16T12:56:39Z,2021-07-12,B.1.351,Beta,VOC,2235,0
1,2021-09-16T12:56:39Z,2021-07-12,P.1,Gamma,VOC,2235,2
1,2021-09-16T12:56:39Z,2021-07-12,B.1.617.2,Delta,VOC,2235,2037
