"date","IC_capaciteit_totaal","kliniek_capaciteit_totaal","IC_bezetting_covid","IC_bezetting_covid_internationaal","IC_bezetting_ontlabeld","IC_bezetting_noncovid","kliniek_bezetting_covid","kliniek_bezetting_ontlabeld","kliniek_bezetting_noncovid","IC_opnames_covid","kliniek_opnames_covid","Kliniek_Bedden_Nederland","IC_Bedden_COVID_Nederland","Totaal_Bezetting","IC_Opnames_7d","Kliniek_Opnames_7d","Totaal_opnames","Totaal_opnames_7d","Totaal_IC","IC_opnames_14d","Kliniek_opnames_14d","OMT_Check_IC","OMT_Check_Kliniek","Kliniek_Bedden_7d","IC_Bedden_7d","Totaal_Bedden_7d","IC_Bedden_14d","Kliniek_Bedden_14d","Totaal_Bedden_14d","OMT_Check_IC_Bezetting","OMT_Check_Kliniek_Bezetting","OMT_Check_Totaal_Bezetting"
2021-04-06,1336,15161,687,0,63,387,1451,297,11148,44,207,1748,750,2498,51.4285714285714,234.428571428571,251,285.857142857143,750,41.8571428571429,238.142857142857,122.9,98.4,1642,719.142857142857,2361.14285714286,646.285714285714,1616.28571428571,2262.57142857143,111.3,101.6,104.4
2021-04-05,1316,15146,678,0,68,369,1371,257,10612,58,205,1628,746,2374,52.2857142857143,246.714285714286,263,299,746,39.2857142857143,236.571428571429,133.1,104.3,1639.14285714286,709.428571428571,2348.57142857143,637.857142857143,1594.42857142857,2232.28571428571,111.2,102.8,105.2
2021-04-04,1312,15117,661,0,69,367,1355,232,10623,53,177,1587,730,2317,49.1428571428571,244.285714285714,230,293.428571428571,730,41.2857142857143,233.571428571429,119,104.6,1644.71428571429,699.285714285714,2344,632.571428571429,1578.42857142857,2211,110.5,104.2,106
2021-04-03,1321,15437,666,0,68,407,1370,244,11276,54,243,1614,734,2348,47.4285714285714,245,297,292.428571428571,734,39.8571428571429,235.285714285714,119,104.1,1645.57142857143,688.571428571429,2334.14285714286,626.285714285714,1559.71428571429,2186,109.9,105.5,106.8
2021-04-02,1326,15894,641,0,64,419,1375,250,12417,48,276,1625,705,2330,47,252.571428571429,324,299.571428571429,705,40.2857142857143,231.285714285714,116.7,109.2,1642.85714285714,675.571428571429,2318.42857142857,620.428571428571,1538.28571428571,2158.71428571429,108.9,106.8,107.4
2021-04-01,1329,15732,627,0,61,433,1387,252,12622,61,276,1639,688,2327,46.4285714285714,247.428571428571,337,293.857142857143,688,40.5714285714286,230.857142857143,114.4,107.2,1638.71428571429,664.142857142857,2302.85714285714,613.857142857143,1519.14285714286,2133,108.2,107.9,108
2021-03-31,1329,15911,611,0,70,439,1385,268,12681,42,257,1653,681,2334,42.5714285714286,243.571428571429,299,286.142857142857,681,39.8571428571429,224.571428571429,106.8,108.5,1629.28571428571,654.285714285714,2283.57142857143,606,1499.57142857143,2105.57142857143,108,108.7,108.5
2021-03-30,1316,15721,610,0,72,453,1438,290,12429,50,293,1728,682,2410,41.8571428571429,238.142857142857,343,280,682,39.7142857142857,221,105.4,107.8,1616.28571428571,646.285714285714,2262.57142857143,597.857142857143,1479.85714285714,2077.71428571429,108.1,109.2,108.9
2021-03-29,1306,15618,600,0,75,431,1390,277,11720,36,188,1667,675,2342,39.2857142857143,236.571428571429,224,275.857142857143,675,40.5714285714286,212.857142857143,96.8,111.1,1594.42857142857,637.857142857143,2232.28571428571,592.571428571429,1462.14285714286,2054.71428571429,107.6,109,108.6
2021-03-28,1293,15090,592,0,63,402,1324,269,11123,41,182,1593,655,2248,41.2857142857143,233.571428571429,223,274.857142857143,655,40,214.285714285714,103.2,109,1578.42857142857,632.571428571429,2211,582,1447.85714285714,2029.85714285714,108.7,109,108.9
